size,time
100,420
200,456
300,503
400,492
500,504
600,528
700,539
800,528
900,540
1000,540
1100,576
1200,552
1300,576
1400,576
1500,576
1600,564
1700,576
1800,564
1900,576
2000,564
2100,624
2200,600
2300,612
2400,612
2500,612
2600,588
2700,612
2800,600
2900,600
3000,600
3100,612
3200,600
3300,612
3400,612
3500,624
3600,611
3700,636
3800,599
3900,612
4000,612
4100,660
4200,636
4300,648
4400,648
4500,647
4600,648
4700,648
4800,624
4900,648
5000,636
5100,636
5200,624
5300,636
5400,636
5500,636
5600,624
5700,648
5800,624
5900,648
6000,648
6100,648
6200,636
6300,648
6400,624
6500,648
6600,636
6700,636
6800,636
6900,660
7000,636
7100,660
7200,624
7300,648
7400,636
7500,636
7600,636
7700,648
7800,647
7900,648
8000,636
8100,636
8200,660
8300,672
8400,672
8500,683
8600,684
8700,684
8800,684
8900,684
9000,660
9100,672
9200,660
9300,672
9400,672
9500,684
9600,672
9700,672
9800,660
9900,672
10000,672
10100,684
10200,672
10300,672
10400,672
10500,660
10600,671
10700,684
10800,672
10900,672
11000,660
11100,660
11200,660
11300,672
11400,672
11500,684
11600,672
11700,684
11800,672
11900,684
12000,660
12100,671
12200,660
12300,696
12400,672
12500,696
12600,660
12700,672
12800,672
12900,672
13000,672
13100,672
13200,660
13300,684
13400,672
13500,684
13600,660
13700,672
13800,660
13900,672
14000,660
14100,672
14200,660
14300,696
14400,672
14500,672
14600,660
14700,672
14800,660
14900,672
15000,672
15100,684
15200,660
15300,672
15400,684
15500,684
15600,660
15700,672
15800,660
15900,672
16000,672
16100,696
16200,684
16300,672
16400,708
16500,708
16600,720
16700,732
16800,708
16900,708
17000,708
17100,708
17200,696
17300,707
17400,695
17500,708
17600,696
17700,708
17800,708
17900,720
18000,707
18100,719
18200,708
18300,720
18400,708
18500,708
18600,696
18700,708
18800,708
18900,708
19000,684
19100,708
19200,696
19300,708
19400,696
19500,696
19600,696
19700,708
19800,684
19900,719
20000,696
20100,708
20200,708
20300,708
20400,684
20500,720
20600,683
20700,708
20800,696
20900,696
21000,696
21100,696
21200,708
21300,708
21400,696
21500,720
21600,696
21700,720
21800,696
21900,696
22000,696
22100,708
22200,696
22300,708
22400,696
22500,708
22600,684
22700,708
22800,696
22900,708
23000,708
23100,708
23200,696
23300,708
23400,696
23500,708
23600,696
23700,708
23800,696
23900,708
24000,708
24100,708
24200,695
24300,720
24400,720
24500,720
24600,744
24700,708
24800,696
24900,708
25000,696
25100,720
25200,695
25300,720
25400,708
25500,720
25600,708
25700,732
25800,696
25900,720
26000,696
26100,720
26200,696
26300,720
26400,696
26500,708
26600,708
26700,720
26800,696
26900,696
27000,708
27100,720
27200,708
27300,732
27400,708
27500,719
27600,708
27700,696
27800,684
27900,708
