size,time
999990,5856
999980,7860
999970,6108
999960,5136
999950,5592
999940,4092
999930,5184
999920,5184
999910,5364
999900,5100
999890,4296
999880,4596
999870,4392
999860,4356
999850,3672
999840,4656
999830,4079
999820,3816
999810,4524
999800,3540
999790,4080
999780,3468
999770,3732
999760,3756
999750,3816
999740,4476
999730,4668
999720,4200
999710,3864
999700,3852
999690,4248
999680,4656
999670,3768
999660,4800
999650,4404
999640,4692
999630,4596
999620,3732
999610,3768
999600,3348
999590,3756
999580,3876
999570,3864
999560,4056
999550,3792
999540,4260
999530,3972
999520,3696
999510,3840
999500,4140
999490,3708
999480,3576
999470,3744
999460,3828
999450,4068
999440,3468
999430,4212
999420,3864
999410,3828
999400,4056
999390,4212
999380,3648
999370,4320
999360,3672
999350,4272
999340,3900
999330,3720
999320,4656
999310,3084
999300,4404
999290,3888
999280,4380
999270,3900
999260,3672
999250,4488
999240,4152
999230,3624
999220,4176
999210,3576
999200,3528
999190,3600
999180,3936
999170,3264
999160,3672
999150,4248
999140,3084
999130,3660
999120,4356
999110,3480
999100,3348
999090,3348
999080,3516
999070,3036
999060,3300
999050,4596
999040,3528
999030,3792
999020,4272
999010,3552
999000,3480
998990,3792
998980,3084
998970,2484
998960,4596
998950,3108
998940,3936
998930,3000
998920,3528
998910,3732
998900,3672
998890,3888
998880,4140
998870,4188
998860,3420
998850,3432
998840,3384
998830,4116
998820,3384
998810,3312
998800,4152
998790,3300
998780,4608
998770,4104
998760,3744
998750,4200
998740,3528
998730,3924
998720,3708
998710,4200
998700,4008
998690,3384
998680,3768
998670,3852
998660,3852
998650,3960
998640,3972
998630,3876
998620,3912
998610,3324
998600,3492
998590,3876
998580,3948
998570,3984
998560,4176
998550,3576
998540,3480
998530,3456
998520,4044
998510,3648
998500,3348
998490,3480
998480,4272
998470,4428
998460,3468
998450,4163
998440,4032
998430,4296
998420,3636
998410,3156
998400,3276
998390,4080
998380,3204
998370,3276
998360,3708
998350,3492
998340,4140
998330,3648
998320,3312
998310,4476
998300,4008
998290,3708
998280,3516
998270,4380
998260,3768
998250,4224
998240,3612
998230,3540
998220,3348
998210,3804
998200,3480
998190,3540
998180,3348
998170,3276
998160,3120
998150,3732
998140,3696
998130,3768
998120,4284
998110,3312
998100,3648
998090,3408
998080,3612
998070,3492
998060,4488
998050,3540
998040,3600
998030,3468
998020,3996
998010,4092
998000,3480
997990,2880
997980,3780
997970,3648
997960,3756
997950,4080
997940,3072
997930,3396
997920,4128
997910,3696
997900,3252
997890,4056
997880,3360
997870,2784
997860,3348
997850,3816
997840,3828
997830,3528
997820,3360
997810,3936
