size,time
100,420
200,456
300,492
400,492
500,492
600,516
700,528
800,528
900,528
1000,516
1100,564
1200,552
1300,564
1400,552
1500,552
1600,564
1700,552
1800,564
1900,552
2000,552
2100,600
2200,600
2300,588
2400,588
2500,588
2600,588
2700,588
2800,588
2900,588
3000,600
3100,588
3200,600
3300,600
3400,588
3500,600
3600,600
3700,600
3800,600
3900,588
4000,588
4100,624
4200,612
4300,624
4400,624
4500,624
4600,636
4700,624
4800,624
4900,624
5000,624
5100,624
5200,624
5300,612
5400,624
5500,624
5600,660
5700,624
5800,624
5900,624
6000,612
6100,624
6200,624
6300,624
6400,624
6500,624
6600,624
6700,636
6800,624
6900,624
7000,624
7100,624
7200,624
7300,624
7400,624
7500,624
7600,624
7700,624
7800,624
7900,624
8000,624
8100,624
8200,648
8300,648
8400,648
8500,648
8600,660
8700,648
8800,660
8900,660
9000,660
9100,660
9200,660
9300,660
9400,660
9500,648
9600,660
9700,660
9800,660
9900,648
10000,660
10100,660
10200,648
10300,660
10400,660
10500,660
10600,648
10700,648
10800,648
10900,648
11000,660
11100,648
11200,660
11300,660
11400,660
11500,660
11600,660
11700,660
11800,648
11900,660
12000,660
12100,648
12200,648
12300,660
12400,660
12500,648
12600,648
12700,648
12800,648
12900,660
13000,660
13100,660
13200,660
13300,660
13400,660
13500,672
13600,660
13700,648
13800,660
13900,672
14000,660
14100,660
14200,660
14300,660
14400,648
14500,660
14600,660
14700,660
14800,660
14900,648
15000,648
15100,648
15200,648
15300,648
15400,660
15500,660
15600,648
15700,660
15800,660
15900,648
16000,660
16100,648
16200,648
16300,648
16400,684
16500,684
16600,684
16700,684
16800,684
16900,696
17000,684
17100,696
17200,696
17300,696
17400,696
17500,684
17600,684
17700,696
17800,684
17900,684
18000,696
18100,684
18200,684
18300,684
18400,684
18500,696
18600,684
18700,684
18800,684
18900,684
19000,684
19100,684
19200,684
19300,684
19400,684
19500,696
19600,684
19700,696
19800,696
19900,684
20000,684
20100,684
20200,684
20300,684
20400,696
20500,696
20600,684
20700,684
20800,672
20900,696
21000,684
21100,684
21200,696
21300,696
21400,696
21500,684
21600,696
21700,684
21800,684
21900,684
22000,696
22100,696
22200,684
22300,708
22400,684
22500,684
22600,684
22700,684
22800,684
22900,684
23000,708
23100,684
23200,696
23300,696
23400,696
23500,684
23600,696
23700,696
23800,696
23900,696
24000,684
24100,684
24200,696
24300,684
24400,696
24500,684
24600,696
24700,696
24800,696
24900,684
25000,684
25100,696
25200,696
25300,696
25400,684
25500,684
25600,696
25700,684
25800,684
25900,684
26000,684
26100,696
26200,684
26300,708
26400,684
26500,684
26600,684
26700,708
26800,696
26900,708
27000,696
27100,696
27200,684
27300,708
27400,696
27500,696
27600,684
27700,696
27800,696
27900,684
