size,time
999000,4356
994000,4440
993000,4668
992000,4656
991000,4548
990000,4224
989000,4524
987000,4224
986000,3264
985000,2652
984000,4212
983000,3960
982000,3792
981000,3204
980000,3588
979000,3804
978000,3060
977000,3540
976000,3732
975000,3228
974000,3840
973000,3396
972000,3312
971000,3553
970000,3708
969000,3396
968000,3216
965000,3732
963000,3432
962000,3708
961000,3456
960000,3516
959000,3324
958000,3456
957000,3480
956000,3288
955000,3228
953000,3504
952000,3288
951000,3516
950000,2808
949000,3468
948000,3036
947000,2856
945000,3396
944000,3685
943000,3060
942000,3156
941000,3144
940000,2532
938000,2928
937000,3492
936000,3048
935000,3144
934000,2856
933000,2868
932000,3696
930000,3396
929000,4069
928000,3684
927000,3888
926000,3768
923000,3540
921000,3720
920000,3396
919000,3528
912000,3336
910000,3684
908000,3889
907000,3888
906000,3468
904000,3876
903000,3276
902000,3337
901000,3132
900000,3468
899000,3936
898000,3924
897000,3636
896000,3456
895000,3852
893000,3552
891000,3577
890000,3528
889000,3900
887000,3756
886000,3720
885000,3456
884000,3492
883000,3936
882000,3456
881000,3733
880000,3912
879000,3480
878000,3564
877000,3648
875000,3768
871000,3264
870000,2940
869000,3660
866000,3600
864000,4032
863000,4128
862000,3396
861000,4428
860000,3996
859000,4260
857000,3552
856000,3864
855000,3432
854000,3768
853000,3504
852000,3864
851000,3348
850000,3708
849000,4260
848000,4212
847000,4260
845000,3660
844000,4008
843000,4404
842000,4104
841000,4068
840000,3816
839000,3936
838000,4752
837000,4140
836000,4236
835000,3936
834000,3840
833000,3732
832000,4212
831000,3408
830000,4740
829000,3852
828000,3180
827000,4152
826000,4044
824000,3552
823000,3504
822000,3612
821000,4596
820000,3132
819000,3708
818000,3636
817000,3672
816000,3660
815000,4200
814000,4260
813000,3852
812000,3708
811000,3900
810000,4224
809000,3696
808000,4272
807000,4116
806000,3708
805000,4356
804000,4884
803000,4440
802000,3492
801000,3744
800000,3744
799000,3072
798000,3624
797000,4932
796000,4488
794000,3612
793000,4789
792000,4356
791000,3948
790000,3624
789000,3864
788000,3576
787000,3636
786000,2844
785000,3528
784000,4308
783000,3492
782000,3864
781000,2268
780000,3108
778000,3312
777000,3984
776000,3972
775000,4165
774000,4056
773000,3336
772000,3156
771000,4224
770000,3408
769000,3456
768000,4728
767000,3264
766000,3228
765000,3168
764000,3204
763000,3888
762000,3180
761000,3384
760000,1920
759000,3540
758000,3696
757000,3264
756000,2628
755000,2568
754000,4560
753000,2580
752000,3672
751000,3960
750000,2064
749000,3240
748000,4764
747000,3816
746000,2724
745000,1560
744000,2640
743000,3324
742000,3300
741000,1560
740000,2280
739000,2664
738000,3024
737000,3036
736000,3300
735000,3421
734000,3228
733000,4224
732000,3432
731000,4068
730000,3228
729000,3900
728000,4140
727000,3504
726000,4236
725000,3528
724000,3504
723000,4116
722000,3816
721000,3876
720000,3288
719000,3900
718000,3469
717000,3456
716000,3540
715000,3936
714000,4393
713000,4008
712000,2640
711000,3276
710000,3540
709000,3624
708000,4224
707000,3540
706000,3396
705000,3780
704000,2676
703000,2112
702000,3756
701000,3024
700000,3108
699000,3960
698000,3420
697000,3132
696000,3624
695000,3372
694000,3432
693000,3552
692000,3336
691000,3120
690000,4080
689000,4128
688000,4356
687000,4524
686000,3600
685000,3672
684000,3396
683000,3840
682000,4152
681000,3384
680000,3696
679000,3516
678000,4608
677000,3528
676000,3324
675000,3720
674000,3480
673000,3588
672000,3744
671000,3804
670000,3192
669000,3456
668000,4320
667000,2580
666000,2868
665000,3000
664000,3024
663000,3240
662000,3780
661000,3468
660000,3660
659000,4224
658000,3588
657000,3588
656000,4644
655000,3864
654000,3156
653000,3408
652000,3072
651000,2760
650000,2880
649000,3768
648000,3624
647000,3048
646000,3744
645000,2988
644000,4920
643000,3756
642000,4464
641000,3468
640000,2844
639000,2796
638000,2532
637000,2916
636000,3156
635000,2940
634000,2856
633000,3192
632000,2965
631000,3840
630000,3048
629000,3420
628000,3228
